RiskYear,NumberOfPersons,ActivityCode,TravellingArea,DangerousAreas,CompanyAge,FinancialRating,Duration,ClaimCost,NumberOfClaims
2020,1.00,M,Whole world,Excluded,2.162902,IR,0.2409,0E-8,0
2018,2.00,N,Whole world,Excluded,0.07392197,AN,0.9884,0E-8,0
2022,2.00,M,Whole world,Excluded,3.742642,C,0.3122,0E-8,0
2019,2.00,M,Whole world,Excluded,22.16564,missing,0.2383,0E-8,0
2022,2.00,L,Whole world,Excluded,36.5859,missing,0.0849,0E-8,0
2022,1.00,C,Whole world,Excluded,3.5126626,missing,0.7146,0E-8,0
2022,1.00,J,Whole world,Excluded,34.261463,missing,0.2300,0E-8,0
2018,2600.00,O,Whole world,Excluded,42.505135,missing,0.7092,0E-8,0
2021,1.00,M,Sweden,Excluded,24.16701,missing,0.0986,0E-8,0
2020,50.00,C,Whole world,Excluded,62.874744,C,0.3340,0E-8,0
2020,7.00,I,Whole world,Excluded,59.29637,B,0.6982,0E-8,0
2021,155.00,G,Whole world,Excluded,56.810406,AAA,0.9994,0E-8,0
2021,1.00,G,Whole world,Excluded,41.462013,AA,0.3915,0E-8,0
2021,13.00,M,Whole world,Excluded,38.55989,AA,0.5038,0E-8,0
2018,2.00,J,Europe,Excluded,29.839836,A,0.1670,0E-8,0
2018,13.00,K,Whole world,Excluded,29.180014,A,0.9117,0E-8,0
2018,2.00,G,Whole world,Excluded,26.245037,AA,0.9994,0E-8,0
2018,8.00,C,Whole world,Excluded,25.730322,B,0.5038,0E-8,0
2021,2.00,J,Nordic countries,Excluded,26.992472,A,0.2984,0E-8,0
2021,4.00,F,Sweden,Excluded,26.70226,AAA,0.5805,0E-8,0
2019,6.00,G,Whole world,Excluded,21.097878,A,0.4956,0E-8,0
2022,23.00,M,Whole world,Excluded,23.233402,AA,0.8981,0E-8,0
2021,8.00,C,Whole world,Excluded,21.941135,AAA,0.3286,0E-8,0
2022,22.00,M,Nordic countries,Excluded,22.061602,A,0.4245,0E-8,0
2020,1.00,C,Whole world,Excluded,20.027378,IR,0.5859,0E-8,0
2022,1.00,M,Whole world,Excluded,21.820671,C,0.4792,0E-8,0
2019,2.00,F,Whole world,Excluded,18.798084,AAA,0.6708,0E-8,0
2019,2.00,R,Whole world,Excluded,18.091719,AA,0.0548,0E-8,0
2022,1.00,M,Europe,Excluded,20.629705,AA,0.8461,0E-8,0
2021,13.00,F,Whole world,Excluded,17.615332,AAA,0.9994,0E-8,0
2021,1.00,C,Whole world,Excluded,17.557837,B,0.1999,0E-8,0
2019,38.00,M,Whole world,Excluded,13.130733,A,0.8378,0E-8,0
2018,5.00,G,Whole world,Excluded,11.975359,AA,0.5038,0E-8,0
2018,3.00,G,Whole world,Excluded,11.737166,AA,0.2519,0E-8,0
2019,6.00,H,Whole world,Excluded,11.611225,AA,0.2164,0E-8,0
2020,2.00,M,Whole world,Excluded,11.15948,AA,0.2492,0E-8,0
2021,3.00,F,Whole world,Excluded,11.756331,A,0.1451,0E-8,0
2020,2.00,F,Whole world,Excluded,10.286105,AA,0.1670,0E-8,0
2021,1.00,F,Nordic countries,Excluded,10.910336,AA,0.7994,0E-8,0
2018,4.00,N,Whole world,Excluded,7.7180014,A,0.6653,0E-8,0
2022,1.00,G,Whole world,Excluded,11.559206,AA,0.4901,0E-8,0
2021,53.00,M,Whole world,Excluded,10.149213,AAA,0.3286,0E-8,0
2020,7.00,G,Whole world,Excluded,9.14716,A,0.7830,0E-8,0
2022,2.00,R,Whole world,Excluded,11.011636,B,0.0110,0E-8,0
2020,1.00,J,Sweden,Excluded,8.637919,AA,0.5531,0E-8,0
2021,4.00,J,Whole world,Excluded,9.5496235,A,0.1150,0E-8,0
2021,1.00,M,Whole world,Excluded,9.177276,A,0.7420,0E-8,0
2022,20.00,Q,Whole world,Excluded,9.941136,AA,0.3258,0E-8,0
2018,9.00,M,Whole world,Excluded,5.9192333,AA,0.0465,0E-8,0
2020,2.00,M,Whole world,Excluded,7.7563314,A,0.3176,0E-8,0
2018,5.00,M,Nordic countries,Excluded,5.5003424,AA,0.3861,0E-8,0
2022,1.00,M,Whole world,Excluded,9.152636,AA,0.2520,0E-8,0
2018,10.00,Q,Whole world,Excluded,4.421629,AA,0.8598,0E-8,0
2022,2.00,H,Whole world,Excluded,7.556468,C,0.9145,0E-8,0
2022,1.00,F,Whole world,Excluded,7.0253253,B,0.0575,0E-8,0
2021,1.00,Q,Whole world,Excluded,5.300479,AA,0.9994,0E-8,0
2019,1.00,Q,Whole world,Excluded,2.6064339,A,0.9994,0E-8,0
2022,3.00,M,Nordic countries,Excluded,5.5496235,B,0.0082,0E-8,0
2019,4.00,C,Whole world,Excluded,2.272416,B,0.6927,0E-8,0
2018,1.00,M,Europe,Excluded,0.5284052,AN,0.8653,0E-8,0
2021,2.00,C,Sweden,Excluded,3.4715948,B,0.5640,0E-8,0
2018,1.00,F,Whole world,Excluded,0.3449692,AN,0.2519,0E-8,0
2022,5.00,M,Whole world,Excluded,4.2655716,A,0.2437,0E-8,0
2021,1.00,S,Whole world,Excluded,3.1129363,A,0.5202,0E-8,0
2022,1.00,L,Whole world,Excluded,3.9151266,IR,0.0849,0E-8,0
2019,1.00,M,Whole world,Excluded,0.114989735,AN,0.2355,0E-8,0
2018,1.00,H,Europe,Excluded,1.9657769,missing,0.9035,0E-8,0
2021,3.00,S,Whole world,Excluded,28.251883,missing,0.8679,0E-8,0
2019,1.00,Q,Whole world,Excluded,2.8692677,missing,0.0630,0E-8,0
2022,1.00,A,Sweden,Excluded,4.221766,missing,0.1260,0E-8,0
2020,6.00,N,Nordic countries,Excluded,10.959617,missing,0.0548,0E-8,0
2022,60.00,G,Whole world,Excluded,93.23203,AAA,0.1834,0E-8,0
2021,2.00,F,Sweden,Excluded,68.02464,A,0.4107,0E-8,0
2018,10.00,F,Whole world,Excluded,32.9911,AAA,0.0821,0E-8,0
2021,27.00,M,Whole world,Excluded,33.675564,AAA,0.1972,0E-8,0
2021,6.00,M,Whole world,Excluded,33.18549,AAA,0.0849,0E-8,0
2021,31.00,M,Whole world,Excluded,33.204655,AAA,0.4956,0E-8,0
2018,270.00,J,Whole world,Excluded,27.011637,AAA,0.5695,0E-8,0
2020,2.00,M,Whole world,Excluded,24.89254,B,0.7502,0E-8,0
2018,4.00,F,Nordic countries,Excluded,17.149897,AA,0.2519,0E-8,0
2018,17.00,C,Nordic countries,Excluded,17.086927,AAA,0.2519,0E-8,0
2022,12.00,J,Whole world,Excluded,21.054073,AAA,0.0301,0E-8,0
2019,2.00,P,Whole world,Excluded,17.097878,B,0.9720,0E-8,0
2022,10.00,H,Whole world,Excluded,18.135523,A,0.6708,0E-8,0
2021,5.00,M,Whole world,Excluded,16.4846,C,0.0849,0E-8,0
2018,2.00,I,Europe,Excluded,13.368925,AAA,0.8324,0E-8,0
2018,3.00,M,Whole world,Excluded,13.32512,A,0.5038,0E-8,0
2022,35.00,H,Whole world,Excluded,16.73922,A,0.3149,0E-8,0
2019,16.00,C,Whole world,Excluded,13.560575,AA,0.5859,0E-8,0
2019,1.00,M,Whole world,Excluded,13.360712,A,0.1862,0E-8,0
2022,2.00,F,Whole world,Excluded,16.31759,B,0.4956,0E-8,0
2019,5.00,J,Whole world,Excluded,12.325805,AAA,0.4135,0E-8,0
2021,7.00,M,Whole world,Excluded,14.173854,A,0.6955,0E-8,0
2019,17.00,X,Whole world,Excluded,10.324435,A,0.9720,0E-8,0
2019,2.00,M,Nordic countries,Excluded,9.081451,AA,0.4327,0E-8,0
2022,2.00,G,Whole world,Excluded,11.934292,A,0.8296,0E-8,0
2021,2.00,M,Whole world,Excluded,10.2423,A,0.1424,0E-8,0
2019,2.00,M,Whole world,Excluded,8.2053385,AA,0.5586,0E-8,0
2020,2.00,M,Whole world,Excluded,7.33744,AA,0.6352,0E-8,0
2021,2.00,M,Whole world,Excluded,8.087611,AA,0.4956,0E-8,0
2020,6.00,J,Whole world,Excluded,6.3819304,AA,0.0767,0E-8,0
2019,18.00,M,Whole world,Excluded,5.3470225,AA,0.2163,0E-8,0
2022,5.00,N,Whole world,Excluded,8.06297,AA,0.5175,0E-8,0
2019,2.00,N,Whole world,Excluded,3.8631074,AA,0.7311,0E-8,0
2021,2.00,M,Nordic countries,Excluded,5.7138944,AA,0.0301,0E-8,0
2022,20.00,C,Whole world,Excluded,6.5051336,AAA,0.5339,0E-8,0
2019,10.00,M,Whole world,Excluded,3.2005475,AA,0.4326,0E-8,0
2021,3.00,J,Whole world,Excluded,5.136208,A,0.6106,0E-8,0
2019,1.00,M,Whole world,Excluded,2.3189597,AA,0.2546,0E-8,0
2021,28.00,I,Whole world,Excluded,4.3011637,A,0.2163,0E-8,0
2018,1.00,F,Sweden,Excluded,1.2375085,AN,0.7913,0E-8,0
2019,3.00,G,Whole world,Excluded,2.201232,C,0.0684,0E-8,0
2019,20.00,G,Nordic countries,Excluded,1.9000684,A,0.4463,0E-8,0
2021,1.00,C,Sweden,Excluded,3.7371664,B,0.1314,0E-8,0
2022,1.00,Q,Sweden,Excluded,4.0930867,A,0.4025,0E-8,0
2020,8.00,F,Sweden,Excluded,2.0725532,A,0.2382,0E-8,0
2022,1.00,J,Whole world,Excluded,3.8932238,A,0.0110,0E-8,0
2019,1.00,S,Whole world,Excluded,0.5010267,AN,0.8186,0E-8,0
2021,1.00,S,Whole world,Excluded,2.329911,A,0.1123,0E-8,0
2022,1.00,M,Europe,Excluded,3.3100617,C,0.0493,0E-8,0
2022,2.00,M,Whole world,Excluded,2.3627653,A,0.0849,0E-8,0
2022,1.00,M,Nordic countries,Excluded,2.1875427,AA,0.7940,0E-8,0
2020,2.00,G,Sweden,Excluded,0.13141684,IR,0.8104,0E-8,0
2020,1.00,N,Europe,Excluded,9.9986315,missing,0.3504,0E-8,0
2019,200.00,Q,Whole world,Excluded,23.474333,missing,0.5859,0E-8,0
2020,1.00,C,Whole world,Excluded,2.4887064,missing,0.1944,0E-8,0
2020,6.00,U,Europe,Excluded,44.503765,missing,0.2026,0E-8,0
2021,2.00,G,Whole world,Excluded,39.600273,missing,0.5038,0E-8,0
2018,4582.00,O,Whole world,Excluded,42.505135,missing,0.7092,0E-8,0
2020,1356.00,O,Whole world,Excluded,28.52293,missing,1.0021,0E-8,0
2022,2.00,N,Whole world,Excluded,16.752909,missing,0.4135,0E-8,0
2021,1.00,C,Whole world,Excluded,37.33607,missing,0.3286,0E-8,0
2021,4.00,G,Whole world,Excluded,47.93429,A,0.1890,0E-8,0
2022,50.00,L,Whole world,Excluded,38.07529,AA,0.1670,0E-8,0
2022,19.00,G,Whole world,Excluded,35.118412,AAA,0.8324,0E-8,0
2018,2.00,N,Whole world,Excluded,24.372347,AA,0.8049,0E-8,0
2019,2.00,N,Whole world,Excluded,25.371664,AA,0.8049,0E-8,0
2021,2.00,N,Whole world,Excluded,27.373032,AA,0.1945,0E-8,0
2019,2.00,M,Whole world,Excluded,24.087612,A,0.4956,0E-8,0
2022,2.00,J,Whole world,Excluded,24.065708,A,0.6654,0E-8,0
2021,2.00,M,Whole world,Excluded,21.982204,A,0.1808,0E-8,0
2021,16.00,M,Nordic countries,Excluded,21.062286,A,0.4245,0E-8,0
2021,2.00,R,Whole world,Excluded,20.093086,AA,0.9446,0E-8,0
2018,5.00,F,Sweden,Excluded,12.947296,AAA,0.9994,0E-8,0
2020,6.00,F,Whole world,Excluded,14.795345,A,0.4983,0E-8,0
2022,3.00,R,Sweden,Excluded,16.588638,B,0.2465,0E-8,0
2019,2.00,J,Whole world,Excluded,11.915127,AA,0.7256,0E-8,0
2019,50.00,M,Whole world,Excluded,11.690623,AA,0.1205,0E-8,0
2019,10.00,J,Whole world,Excluded,11.575633,AA,0.0575,0E-8,0
2022,16.00,M,Whole world,Excluded,14.302532,B,0.8707,0E-8,0
2021,4.00,J,Europe,Excluded,12.424367,AA,0.2027,0E-8,0
2021,2.00,G,Whole world,Excluded,10.321697,A,0.7612,0E-8,0
2021,10.00,J,Nordic countries,Excluded,10.299794,AA,0.3750,0E-8,0
2021,15.00,Q,Whole world,Excluded,10.086243,AA,0.2875,0E-8,0
2019,1.00,G,Europe,Excluded,8.030116,AA,0.7529,0E-8,0
2021,5.00,R,Whole world,Excluded,8.6625595,AA,0.5339,0E-8,0
2020,3.00,F,Whole world,Excluded,7.186858,AA,0.1670,0E-8,0
2022,50.00,L,Whole world,Excluded,9.149898,A,0.5859,0E-8,0
2022,2.00,N,Whole world,Excluded,9.013005,B,0.0602,0E-8,0
2022,2.00,J,Sweden,Excluded,8.859685,AA,0.7146,0E-8,0
2021,2.00,M,Whole world,Excluded,6.918549,A,0.3340,0E-8,0
2020,3.00,G,Whole world,Excluded,5.760438,AA,0.3614,0E-8,0
2021,2.00,Q,Whole world,Excluded,6.324435,AA,0.3340,0E-8,0
2022,4.00,J,Whole world,Excluded,6.8939085,C,0.0849,0E-8,0
2019,30.00,M,Sweden,Excluded,3.430527,AA,0.0383,0E-8,0
2018,2.00,G,Whole world,Excluded,2.275154,C,0.2382,0E-8,0
2020,2.00,M,Whole world,Excluded,4.1587954,A,0.9555,0E-8,0
2020,5.00,J,Europe,Excluded,4.1177278,AA,0.2465,0E-8,0
2018,5.00,R,Whole world,Excluded,2.0396988,A,0.0630,0E-8,0
2022,1.00,F,Sweden,Excluded,5.965777,AA,0.7392,0E-8,0
2022,22.00,M,Whole world,Excluded,5.853525,AAA,0.7475,0E-8,0
2022,1.00,M,Whole world,Excluded,5.396304,B,0.4709,0E-8,0
2022,1.00,M,Europe,Excluded,5.2977414,AA,0.7557,0E-8,0
2022,6.00,F,Europe,Excluded,4.862423,AA,0.0876,0E-8,0
2019,1.00,G,Sweden,Excluded,1.8370979,A,0.1314,0E-8,0
2021,1.00,J,Nordic countries,Excluded,3.285421,A,0.8241,0E-8,0
2021,1.00,J,Nordic countries,Excluded,3.285421,A,0.1753,0E-8,0
2021,2.00,M,Whole world,Excluded,3.2224505,B,0.2164,0E-8,0
2021,1.00,M,Whole world,Excluded,3.1676934,AA,0.5531,0E-8,0
2022,1.00,J,Sweden,Excluded,3.9917865,A,0.0411,0E-8,0
2020,25.00,J,Whole world,Excluded,1.5030801,C,0.6763,0E-8,0
2022,1.00,N,Sweden,Excluded,3.0718687,B,0.7475,0E-8,0
2022,1.00,F,Nordic countries,Excluded,0.991102,AN,0.0274,0E-8,0
2021,2.00,F,Whole world,Excluded,23.353867,missing,0.6325,0E-8,0
2020,1.00,F,Whole world,Excluded,2.8720055,missing,0.1095,0E-8,0
2019,17.00,S,Whole world,Excluded,33.125256,missing,0.6380,0E-8,0
2018,6673.00,O,Whole world,Excluded,42.505135,missing,0.9994,0E-8,0
2022,1000.00,O,Whole world,Excluded,30.524298,missing,0.2437,0E-8,0
2018,1.00,X,Whole world,Excluded,32.41889,missing,0.0849,0E-8,0
2021,1.00,F,Sweden,Excluded,21.086927,missing,0.3122,0E-8,0
2018,1.00,M,Sweden,Excluded,19.50445,missing,0.3559,0E-8,0
2021,40.00,G,Whole world,Excluded,50.913074,AAA,0.1670,0E-8,0
2022,2.00,G,Whole world,Excluded,51.12115,A,0.8186,0E-8,0
2018,13.00,E,Whole world,Excluded,32.81862,A,0.8350,0E-8,0
2022,18.00,E,Whole world,Excluded,36.81862,AAA,0.8350,0E-8,0
2019,7.00,C,Whole world,Excluded,31.863108,AAA,0.1670,0E-8,0
2022,6.00,H,Whole world,Excluded,34.261463,A,0.3888,0E-8,0
2022,1.00,M,Whole world,Excluded,33.89733,AA,0.0821,0E-8,0
2020,4.00,M,Whole world,Excluded,31.195072,AA,0.7502,0E-8,0
2020,5.00,S,Whole world,Excluded,30.581793,AA,0.5065,0E-8,0
2018,2.00,M,Sweden,Excluded,27.156742,A,0.9994,0E-8,0
2022,1.00,G,Sweden,Excluded,30.885695,AA,0.1342,0E-8,0
2018,34.00,J,Whole world,Excluded,25.393566,AAA,0.3340,0E-8,0
2018,5.00,H,Sweden,Excluded,22.28063,AA,0.5148,0E-8,0
2022,2.00,M,Whole world,Excluded,22.915812,AA,0.9994,0E-8,0
2022,5.00,M,Europe,Excluded,22.083504,B,0.2875,0E-8,0
2018,24.00,G,Whole world,Excluded,17.968515,AAA,0.9172,0E-8,0
2019,10.00,H,Whole world,Excluded,15.134839,A,0.6708,0E-8,0
2022,2.00,M,Whole world,Excluded,14.518823,B,0.7556,0E-8,0
2019,2.00,J,Whole world,Excluded,10.869267,AA,0.7173,0E-8,0
2020,5.00,F,Whole world,Excluded,9.5441475,AA,0.1971,0E-8,0
2021,2.00,M,Whole world,Excluded,10.2423,A,0.8570,0E-8,0
2018,3.00,F,Whole world,Excluded,7.134839,A,0.1670,0E-8,0
2021,3.00,C,Whole world,Excluded,9.1033535,AA,0.1479,0E-8,0
2021,1.00,J,Europe,Excluded,7.8986993,B,0.8542,0E-8,0
2020,1.00,J,Whole world,Excluded,6.05065,AA,0.5859,0E-8,0
2020,1.00,M,Europe,Excluded,5.672827,AA,0.5148,0E-8,0
2018,4.00,J,Whole world,Excluded,3.3867214,B,0.3067,0E-8,0
2022,1.00,M,Sweden,Excluded,5.489391,AA,0.2354,0E-8,0
2020,2.00,P,Whole world,Excluded,3.4277892,AA,0.7940,0E-8,0
2018,4.00,N,Nordic countries,Excluded,0.8240931,AN,0.5148,0E-8,0
2021,5.00,K,Whole world,Excluded,3.8220396,AA,0.8132,0E-8,0
2019,1.00,J,Nordic countries,Excluded,1.2950034,AN,0.7557,0E-8,0
2018,4.00,R,Whole world,Excluded,0.14784394,AN,0.2409,0E-8,0
2019,1.00,F,Sweden,Excluded,0.65434635,AN,0.1643,0E-8,0
2019,1.00,M,Whole world,Excluded,0.28473648,AN,0.1561,0E-8,0
2021,6.00,F,Whole world,Excluded,2.1930184,C,0.3121,0E-8,0
2022,2.00,R,Whole world,Excluded,3.0143738,C,0.3641,0E-8,0
2021,1.00,N,Whole world,Excluded,4.3148527,missing,0.1424,0E-8,0
2019,1.00,N,Sweden,Excluded,0.8761122,missing,0.8378,0E-8,0
2022,1.00,M,Nordic countries,Excluded,2.2505133,missing,0.0274,0E-8,0
2018,1.00,F,Whole world,Excluded,37.77139,missing,0.7529,0E-8,0
2019,1.00,F,Sweden,Excluded,2.0643394,missing,0.8324,0E-8,0
2021,298.00,O,Whole world,Excluded,8.550308,missing,0.9994,0E-8,0
2019,2.00,M,Whole world,Excluded,22.475018,missing,0.7202,0E-8,0
2022,1.00,F,Whole world,Excluded,1.5386721,missing,0.5230,0E-8,0
2020,4.00,C,Whole world,Excluded,122.31622,AAA,0.0931,0E-8,0
2020,2.00,C,Whole world,Excluded,62.874744,C,0.6681,0E-8,0
2018,5.00,B,Whole world,Excluded,48.56126,AA,0.0849,0E-8,0
2022,2.00,L,Whole world,Excluded,40.48186,AA,0.0849,0E-8,0
2020,2.00,G,Whole world,Excluded,36.648872,A,1.0021,0E-8,0
2018,7.00,C,Whole world,Excluded,30.518824,AA,0.0684,0E-8,0
2019,15.00,H,Whole world,Excluded,31.15948,AAA,0.0821,0E-8,0
2022,2.00,L,Whole world,Excluded,33.66461,A,0.3340,0E-8,0
2022,5.00,G,Whole world,Excluded,32.33402,AAA,0.0849,0E-8,0
2019,4.00,M,Whole world,Excluded,26.02601,A,0.5503,0E-8,0
2018,50.00,M,Whole world,Excluded,20.208076,AAA,0.9994,0E-8,0
2020,80.00,J,Whole world,Excluded,21.92197,AAA,0.4162,0E-8,0
2021,2.00,M,Whole world,Excluded,17.557837,B,0.7119,0E-8,0
2020,1.00,G,Whole world,Excluded,16.123203,AA,0.2492,0E-8,0
2019,2.00,M,Whole world,Excluded,14.932239,AA,0.6900,0E-8,0
2020,2.00,M,Sweden,Excluded,15.748117,A,0.7420,0E-8,0
2018,70.00,J,Whole world,Excluded,12.908966,AAA,0.2464,0E-8,0
2021,7.00,M,Whole world,Excluded,15.036277,AAA,0.2164,0E-8,0
2018,14.00,F,Whole world,Excluded,11.953457,AAA,0.9912,0E-8,0
2022,4.00,N,Whole world,Excluded,14.948666,AAA,0.8378,0E-8,0
2018,1378.00,J,Whole world,Excluded,10.173854,AA,0.2874,0E-8,0
2018,2.00,M,Whole world,Excluded,9.160849,A,0.7529,0E-8,0
2018,5.00,M,Sweden,Excluded,8.2217655,AA,0.0849,0E-8,0
2022,2.00,F,Whole world,Excluded,11.819302,A,0.8378,0E-8,0
2020,2.00,M,Whole world,Excluded,9.50308,AA,0.7010,0E-8,0
2018,1.00,M,Whole world,Excluded,6.8336754,A,0.9172,0E-8,0
2020,2.00,J,Whole world,Excluded,7.928816,B,0.2218,0E-8,0
2021,1.00,R,Whole world,Excluded,8.574948,AA,0.8871,0E-8,0
